TEXT,cEXT,cNEU,cAGR,cCON,cOPN
"I thrive when surrounded by lively conversations I speak blunt truths even if they cut Order calms me like deep breathing Anxiety knots itself around my late‑night thoughts I rely on proven methods, not wild notions",y,y,n,y,n
Spontaneity steers my daily map I question every rule before following Stress lingers even in calm rooms Sarcasm is my native dialect I harvest energy from solitude and soft music,n,y,n,n,y
"Mood swings arrive without invitation or warning Meeting new faces feels like opening surprise gifts I finish tasks before they have time to worry me I rely on proven methods, not wild notions Competition tastes sweeter than compromise",y,y,n,y,n
I collect perspectives the way others collect stamps Gentle words soften the hardest debates Punctuality is my silent love language Silence bores me; I chase the next social spark My mood is a calm lake at dawn,y,n,y,y,y
Art museums feel like playgrounds I breathe evenly through most tempests Deadlines feel like friendly checkpoints Quiet corners are my favourite kingdoms Gentle words soften the hardest debates,n,n,y,y,y
Helping others paints colour into my day I harvest energy from solitude and soft music I catch storms of doubt over clear skies Calendars and lists guide my every sunrise Practical solutions beat abstract theories,n,y,y,y,n
"Tiny worries grow into forests in my head After social storms, I retreat into books Sarcasm is my native dialect Punctuality is my silent love language Change is interesting— from a safe distance",n,y,n,y,n
I breathe evenly through most tempests Abstract ideas glitter brighter than gold I talk my ideas into existence with anyone nearby Punctuality is my silent love language Gentle words soften the hardest debates,y,n,y,y,y
Helping others paints colour into my day Deadlines feel like friendly checkpoints Abstract ideas glitter brighter than gold Stress slides off me like rain on glass I thrive when surrounded by lively conversations,y,n,y,y,y
Stress slides off me like rain on glass I question every rule before following Being right matters more than being liked Silence bores me; I chase the next social spark My desk is chaos where creativity blooms,y,n,n,n,y
Formality suffocates my freeform workflow I thrive when surrounded by lively conversations Art museums feel like playgrounds Anxiety knots itself around my late‑night thoughts I offer smiles as default greetings,y,y,y,n,y
Sarcasm is my native dialect Spontaneity steers my daily map Mood swings arrive without invitation or warning I talk my ideas into existence with anyone nearby Tradition steadies my steps like a familiar song,y,y,n,n,n
My desk is chaos where creativity blooms I value honesty above fragile feelings Optimism anchors me against dark currents Fiction rarely appeals compared to manuals I thrive when surrounded by lively conversations,y,n,n,n,n
Stress slides off me like rain on glass I question every rule before following Long talks exhaust me faster than a night run Kindness feels like common sense in motion Punctuality is my silent love language,n,n,y,y,y
Meeting new faces feels like opening surprise gifts Formality suffocates my freeform workflow I collect perspectives the way others collect stamps Debates are battles I aim to win I catch storms of doubt over clear skies,y,y,n,n,y
"Stress lingers even in calm rooms Tradition steadies my steps like a familiar song My desk is chaos where creativity blooms After social storms, I retreat into books Competition tastes sweeter than compromise",n,y,n,n,n
"My desk is chaos where creativity blooms I listen first, judge later, if ever I prefer facts over fantasies I process setbacks, then move forward I thrive when surrounded by lively conversations",y,n,y,n,n
"Parties feel like home turf where I refuel I speak blunt truths even if they cut Order calms me like deep breathing I breathe evenly through most tempests I rely on proven methods, not wild notions",y,n,n,y,n
"I breathe evenly through most tempests I listen first, judge later, if ever I question every rule before following Punctuality is my silent love language Parties feel like home turf where I refuel",y,n,y,y,y
Optimism anchors me against dark currents Sarcasm is my native dialect I question every rule before following I finish tasks before they have time to worry me I talk my ideas into existence with anyone nearby,y,n,n,y,y
"Plans are suggestions, not iron gates Worry rarely finds a foothold in my mind Quiet corners are my favourite kingdoms I offer smiles as default greetings I rely on proven methods, not wild notions",n,n,y,n,n
"Change is interesting— from a safe distance Stress lingers even in calm rooms Deadlines feel like friendly checkpoints I’d rather make peace than score points After social storms, I retreat into books",n,y,y,y,n
I prefer facts over fantasies Punctuality is my silent love language Long talks exhaust me faster than a night run Mood swings arrive without invitation or warning Kindness feels like common sense in motion,n,y,y,y,n
Practical solutions beat abstract theories I offer smiles as default greetings I breathe evenly through most tempests Calendars and lists guide my every sunrise Meeting new faces feels like opening surprise gifts,y,n,y,y,n
Punctuality is my silent love language Debates are battles I aim to win I question every rule before following Small talk drains my battery to red Tiny worries grow into forests in my head,n,y,n,y,y
"Being right matters more than being liked Stress lingers even in calm rooms Spontaneity steers my daily map I rely on proven methods, not wild notions I thrive when surrounded by lively conversations",y,y,n,n,n
My desk is chaos where creativity blooms Long talks exhaust me faster than a night run Worry rarely finds a foothold in my mind I prefer facts over fantasies I’d rather make peace than score points,n,n,y,n,n
"Calendars and lists guide my every sunrise I rely on proven methods, not wild notions I listen first, judge later, if ever Parties feel like home turf where I refuel I catch storms of doubt over clear skies",y,y,y,y,n
"After social storms, I retreat into books I process setbacks, then move forward Gentle words soften the hardest debates I double‑check locks, lights, and lines of code Change is interesting— from a safe distance",n,n,y,y,n
Small talk drains my battery to red I lose track of time when ideas spark I replay mistakes in my mind like scratched vinyl Sarcasm is my native dialect I collect perspectives the way others collect stamps,n,y,n,n,y
"Parties feel like home turf where I refuel My mood is a calm lake at dawn Calendars and lists guide my every sunrise I listen first, judge later, if ever I question every rule before following",y,n,y,y,y
Sarcasm is my native dialect Crowded rooms charge my spirit like electricity Deadlines bend to my last‑minute miracles Tiny worries grow into forests in my head Books on quantum poetry excite me,y,y,n,n,y
I chase new experiences like constellations Calendars and lists guide my every sunrise My mood is a calm lake at dawn Competition tastes sweeter than compromise Parties feel like home turf where I refuel,y,n,n,y,y
"I replay mistakes in my mind like scratched vinyl Silence bores me; I chase the next social spark I listen first, judge later, if ever I prefer facts over fantasies Deadlines bend to my last‑minute miracles",y,y,y,n,n
I chase new experiences like constellations Small talk drains my battery to red Being right matters more than being liked Calendars and lists guide my every sunrise Stress slides off me like rain on glass,n,n,n,y,y
"Parties feel like home turf where I refuel I listen first, judge later, if ever Stress lingers even in calm rooms I collect perspectives the way others collect stamps Deadlines feel like friendly checkpoints",y,y,y,y,y
Spontaneity steers my daily map I thrive when surrounded by lively conversations I collect perspectives the way others collect stamps I speak blunt truths even if they cut Mood swings arrive without invitation or warning,y,y,n,n,y
"I listen first, judge later, if ever Quiet corners are my favourite kingdoms Stress slides off me like rain on glass Practical solutions beat abstract theories Plans are suggestions, not iron gates",n,n,y,n,n
Tiny worries grow into forests in my head Tradition steadies my steps like a familiar song Meeting new faces feels like opening surprise gifts I lose track of time when ideas spark Kindness feels like common sense in motion,y,y,y,n,n
"After social storms, I retreat into books I breathe evenly through most tempests Change is interesting— from a safe distance Calendars and lists guide my every sunrise I offer smiles as default greetings",n,n,y,y,n
"My desk is chaos where creativity blooms I rely on proven methods, not wild notions Mood swings arrive without invitation or warning Competition tastes sweeter than compromise Long talks exhaust me faster than a night run",n,y,n,n,n
I thrive when surrounded by lively conversations Kindness feels like common sense in motion Change is interesting— from a safe distance Optimism anchors me against dark currents Deadlines bend to my last‑minute miracles,y,n,y,n,n
Helping others paints colour into my day Crowded rooms charge my spirit like electricity My desk is chaos where creativity blooms Stress slides off me like rain on glass Art museums feel like playgrounds,y,n,y,n,y
I talk my ideas into existence with anyone nearby Abstract ideas glitter brighter than gold My mood is a calm lake at dawn Punctuality is my silent love language Being right matters more than being liked,y,n,n,y,y
I chase new experiences like constellations Kindness feels like common sense in motion Quiet corners are my favourite kingdoms I lose track of time when ideas spark Anxiety knots itself around my late‑night thoughts,n,y,y,n,y
"Crowds blur my thoughts; I prefer one deep voice Spontaneity steers my daily map I rely on proven methods, not wild notions I catch storms of doubt over clear skies Debates are battles I aim to win",n,y,n,n,n
"I double‑check locks, lights, and lines of code I talk my ideas into existence with anyone nearby Sarcasm is my native dialect Fiction rarely appeals compared to manuals Anxiety knots itself around my late‑night thoughts",y,y,n,y,n
"Crowded rooms charge my spirit like electricity I question every rule before following Spontaneity steers my daily map I process setbacks, then move forward I offer smiles as default greetings",y,n,y,n,y
"Crowds blur my thoughts; I prefer one deep voice Change is interesting— from a safe distance Plans are suggestions, not iron gates I replay mistakes in my mind like scratched vinyl Gentle words soften the hardest debates",n,y,y,n,n
My desk is chaos where creativity blooms Crowded rooms charge my spirit like electricity Practical solutions beat abstract theories Mood swings arrive without invitation or warning Helping others paints colour into my day,y,y,y,n,n
Crowds blur my thoughts; I prefer one deep voice Mood swings arrive without invitation or warning I value honesty above fragile feelings I finish tasks before they have time to worry me Practical solutions beat abstract theories,n,y,n,y,n
Tiny worries grow into forests in my head Spontaneity steers my daily map I question every rule before following I thrive when surrounded by lively conversations Kindness feels like common sense in motion,y,y,y,n,y
Fiction rarely appeals compared to manuals Punctuality is my silent love language Tiny worries grow into forests in my head I offer smiles as default greetings Crowds blur my thoughts; I prefer one deep voice,n,y,y,y,n
I chase new experiences like constellations I harvest energy from solitude and soft music Kindness feels like common sense in motion Stress lingers even in calm rooms I finish tasks before they have time to worry me,n,y,y,y,y
"After social storms, I retreat into books Deadlines feel like friendly checkpoints Practical solutions beat abstract theories I offer smiles as default greetings Tiny worries grow into forests in my head",n,y,y,y,n
"Plans are suggestions, not iron gates Long talks exhaust me faster than a night run Debates are battles I aim to win I collect perspectives the way others collect stamps I replay mistakes in my mind like scratched vinyl",n,y,n,n,y
I value honesty above fragile feelings Crowds blur my thoughts; I prefer one deep voice I catch storms of doubt over clear skies I question every rule before following Deadlines bend to my last‑minute miracles,n,y,n,n,y
"I value honesty above fragile feelings Art museums feel like playgrounds Anxiety knots itself around my late‑night thoughts Plans are suggestions, not iron gates Silence bores me; I chase the next social spark",y,y,n,n,y
"Helping others paints colour into my day I question every rule before following Quiet corners are my favourite kingdoms I double‑check locks, lights, and lines of code I breathe evenly through most tempests",n,n,y,y,y
Optimism anchors me against dark currents I offer smiles as default greetings Spontaneity steers my daily map Crowded rooms charge my spirit like electricity I chase new experiences like constellations,y,n,y,n,y
Gentle words soften the hardest debates Order calms me like deep breathing Worry rarely finds a foothold in my mind Meeting new faces feels like opening surprise gifts Art museums feel like playgrounds,y,n,y,y,y
Formality suffocates my freeform workflow Anxiety knots itself around my late‑night thoughts I prefer facts over fantasies I’d rather make peace than score points Quiet corners are my favourite kingdoms,n,y,y,n,n
I thrive when surrounded by lively conversations I finish tasks before they have time to worry me My mood is a calm lake at dawn I chase new experiences like constellations I’d rather make peace than score points,y,n,y,y,y
I’d rather make peace than score points Formality suffocates my freeform workflow Silence bores me; I chase the next social spark I catch storms of doubt over clear skies Change is interesting— from a safe distance,y,y,y,n,n
Mood swings arrive without invitation or warning I thrive when surrounded by lively conversations Kindness feels like common sense in motion I collect perspectives the way others collect stamps Deadlines feel like friendly checkpoints,y,y,y,y,y
Optimism anchors me against dark currents Order calms me like deep breathing Being right matters more than being liked Parties feel like home turf where I refuel I chase new experiences like constellations,y,n,n,y,y
Stress lingers even in calm rooms My desk is chaos where creativity blooms Competition tastes sweeter than compromise I prefer facts over fantasies Small talk drains my battery to red,n,y,n,n,n
I thrive when surrounded by lively conversations I replay mistakes in my mind like scratched vinyl Formality suffocates my freeform workflow Abstract ideas glitter brighter than gold I offer smiles as default greetings,y,y,y,n,y
"Art museums feel like playgrounds I offer smiles as default greetings Plans are suggestions, not iron gates I breathe evenly through most tempests Quiet corners are my favourite kingdoms",n,n,y,n,y
Anxiety knots itself around my late‑night thoughts My desk is chaos where creativity blooms Competition tastes sweeter than compromise Quiet corners are my favourite kingdoms Art museums feel like playgrounds,n,y,n,n,y
Parties feel like home turf where I refuel Debates are battles I aim to win Deadlines feel like friendly checkpoints Change is interesting— from a safe distance Optimism anchors me against dark currents,y,n,n,y,n
"I double‑check locks, lights, and lines of code Tradition steadies my steps like a familiar song I thrive when surrounded by lively conversations I offer smiles as default greetings Tiny worries grow into forests in my head",y,y,y,y,n
"Practical solutions beat abstract theories Mood swings arrive without invitation or warning After social storms, I retreat into books Plans are suggestions, not iron gates Competition tastes sweeter than compromise",n,y,n,n,n
Tradition steadies my steps like a familiar song I harvest energy from solitude and soft music I value honesty above fragile feelings Order calms me like deep breathing I breathe evenly through most tempests,n,n,n,y,n
Tiny worries grow into forests in my head Deadlines bend to my last‑minute miracles Crowds blur my thoughts; I prefer one deep voice I offer smiles as default greetings Fiction rarely appeals compared to manuals,n,y,y,n,n
I lose track of time when ideas spark Crowded rooms charge my spirit like electricity I collect perspectives the way others collect stamps My mood is a calm lake at dawn Competition tastes sweeter than compromise,y,n,n,n,y
Crowds blur my thoughts; I prefer one deep voice Deadlines bend to my last‑minute miracles I value honesty above fragile feelings I collect perspectives the way others collect stamps Stress slides off me like rain on glass,n,n,n,n,y
Crowds blur my thoughts; I prefer one deep voice Change is interesting— from a safe distance Formality suffocates my freeform workflow My mood is a calm lake at dawn Being right matters more than being liked,n,n,n,n,n
"Anxiety knots itself around my late‑night thoughts Helping others paints colour into my day I question every rule before following After social storms, I retreat into books My desk is chaos where creativity blooms",n,y,y,n,y
I thrive when surrounded by lively conversations Stress slides off me like rain on glass Abstract ideas glitter brighter than gold Formality suffocates my freeform workflow Sarcasm is my native dialect,y,n,n,n,y
I offer smiles as default greetings I finish tasks before they have time to worry me Meeting new faces feels like opening surprise gifts Stress slides off me like rain on glass Abstract ideas glitter brighter than gold,y,n,y,y,y
Crowds blur my thoughts; I prefer one deep voice Debates are battles I aim to win Deadlines bend to my last‑minute miracles Abstract ideas glitter brighter than gold Stress lingers even in calm rooms,n,y,n,n,y
Sarcasm is my native dialect Deadlines feel like friendly checkpoints Meeting new faces feels like opening surprise gifts Anxiety knots itself around my late‑night thoughts I collect perspectives the way others collect stamps,y,y,n,y,y
I replay mistakes in my mind like scratched vinyl Competition tastes sweeter than compromise Change is interesting— from a safe distance Order calms me like deep breathing Crowds blur my thoughts; I prefer one deep voice,n,y,n,y,n
Deadlines feel like friendly checkpoints Worry rarely finds a foothold in my mind Long talks exhaust me faster than a night run Fiction rarely appeals compared to manuals Helping others paints colour into my day,n,n,y,y,n
"I listen first, judge later, if ever Abstract ideas glitter brighter than gold Crowded rooms charge my spirit like electricity Tiny worries grow into forests in my head I lose track of time when ideas spark",y,y,y,n,y
"Silence bores me; I chase the next social spark Spontaneity steers my daily map My mood is a calm lake at dawn I question every rule before following I listen first, judge later, if ever",y,n,y,n,y
Stress lingers even in calm rooms Small talk drains my battery to red Tradition steadies my steps like a familiar song Order calms me like deep breathing Sarcasm is my native dialect,n,y,n,y,n
Deadlines bend to my last‑minute miracles Practical solutions beat abstract theories I’d rather make peace than score points Crowded rooms charge my spirit like electricity Stress lingers even in calm rooms,y,y,y,n,n
"Gentle words soften the hardest debates Punctuality is my silent love language I harvest energy from solitude and soft music I process setbacks, then move forward I prefer facts over fantasies",n,n,y,y,n
Mood swings arrive without invitation or warning Competition tastes sweeter than compromise Tradition steadies my steps like a familiar song I lose track of time when ideas spark Crowded rooms charge my spirit like electricity,y,y,n,n,n
Fiction rarely appeals compared to manuals Mood swings arrive without invitation or warning I lose track of time when ideas spark I talk my ideas into existence with anyone nearby I speak blunt truths even if they cut,y,y,n,n,n
Spontaneity steers my daily map I harvest energy from solitude and soft music Art museums feel like playgrounds I replay mistakes in my mind like scratched vinyl I speak blunt truths even if they cut,n,y,n,n,y
"I process setbacks, then move forward I collect perspectives the way others collect stamps I talk my ideas into existence with anyone nearby Helping others paints colour into my day Calendars and lists guide my every sunrise",y,n,y,y,y
Gentle words soften the hardest debates Silence bores me; I chase the next social spark I prefer facts over fantasies Worry rarely finds a foothold in my mind Formality suffocates my freeform workflow,y,n,y,n,n
I catch storms of doubt over clear skies Fiction rarely appeals compared to manuals I lose track of time when ideas spark I harvest energy from solitude and soft music Sarcasm is my native dialect,n,y,n,n,n
"I rely on proven methods, not wild notions Crowds blur my thoughts; I prefer one deep voice Punctuality is my silent love language I replay mistakes in my mind like scratched vinyl I’d rather make peace than score points",n,y,y,y,n
"Parties feel like home turf where I refuel I rely on proven methods, not wild notions My desk is chaos where creativity blooms Helping others paints colour into my day Mood swings arrive without invitation or warning",y,y,y,n,n
I thrive when surrounded by lively conversations I value honesty above fragile feelings Tradition steadies my steps like a familiar song Optimism anchors me against dark currents Order calms me like deep breathing,y,n,n,y,n
Abstract ideas glitter brighter than gold Deadlines bend to my last‑minute miracles I offer smiles as default greetings Small talk drains my battery to red My mood is a calm lake at dawn,n,n,y,n,y
Debates are battles I aim to win Crowds blur my thoughts; I prefer one deep voice Spontaneity steers my daily map Optimism anchors me against dark currents I chase new experiences like constellations,n,n,n,n,y
"Punctuality is my silent love language Tradition steadies my steps like a familiar song I process setbacks, then move forward I speak blunt truths even if they cut I talk my ideas into existence with anyone nearby",y,n,n,y,n
I replay mistakes in my mind like scratched vinyl Crowds blur my thoughts; I prefer one deep voice Tradition steadies my steps like a familiar song My desk is chaos where creativity blooms I value honesty above fragile feelings,n,y,n,n,n
Fiction rarely appeals compared to manuals Crowds blur my thoughts; I prefer one deep voice I speak blunt truths even if they cut Deadlines feel like friendly checkpoints I replay mistakes in my mind like scratched vinyl,n,y,n,y,n
I catch storms of doubt over clear skies I question every rule before following Kindness feels like common sense in motion Deadlines feel like friendly checkpoints Silence bores me; I chase the next social spark,y,y,y,y,y
"Tiny worries grow into forests in my head I talk my ideas into existence with anyone nearby I value honesty above fragile feelings Practical solutions beat abstract theories I double‑check locks, lights, and lines of code",y,y,n,y,n
Punctuality is my silent love language Stress lingers even in calm rooms Meeting new faces feels like opening surprise gifts Gentle words soften the hardest debates Tradition steadies my steps like a familiar song,y,y,y,y,n
"Stress slides off me like rain on glass I offer smiles as default greetings After social storms, I retreat into books Deadlines bend to my last‑minute miracles Art museums feel like playgrounds",n,n,y,n,y
I talk my ideas into existence with anyone nearby Helping others paints colour into my day Tradition steadies my steps like a familiar song Optimism anchors me against dark currents Calendars and lists guide my every sunrise,y,n,y,y,n
"Books on quantum poetry excite me Silence bores me; I chase the next social spark Plans are suggestions, not iron gates Tiny worries grow into forests in my head Sarcasm is my native dialect",y,y,n,n,y
"Formality suffocates my freeform workflow Stress slides off me like rain on glass Books on quantum poetry excite me I listen first, judge later, if ever Parties feel like home turf where I refuel",y,n,y,n,y
"My mood is a calm lake at dawn Competition tastes sweeter than compromise I talk my ideas into existence with anyone nearby I question every rule before following I double‑check locks, lights, and lines of code",y,n,n,y,y
Sarcasm is my native dialect I breathe evenly through most tempests My desk is chaos where creativity blooms Abstract ideas glitter brighter than gold Silence bores me; I chase the next social spark,y,n,n,n,y
"My mood is a calm lake at dawn Art museums feel like playgrounds I thrive when surrounded by lively conversations My desk is chaos where creativity blooms I listen first, judge later, if ever",y,n,y,n,y
Order calms me like deep breathing I talk my ideas into existence with anyone nearby I breathe evenly through most tempests Helping others paints colour into my day I prefer facts over fantasies,y,n,y,y,n
"I listen first, judge later, if ever Worry rarely finds a foothold in my mind My desk is chaos where creativity blooms Parties feel like home turf where I refuel I chase new experiences like constellations",y,n,y,n,y
I talk my ideas into existence with anyone nearby Gentle words soften the hardest debates Worry rarely finds a foothold in my mind Abstract ideas glitter brighter than gold My desk is chaos where creativity blooms,y,n,y,n,y
Meeting new faces feels like opening surprise gifts Fiction rarely appeals compared to manuals Stress lingers even in calm rooms Punctuality is my silent love language Kindness feels like common sense in motion,y,y,y,y,n
Mood swings arrive without invitation or warning I collect perspectives the way others collect stamps Small talk drains my battery to red Spontaneity steers my daily map Competition tastes sweeter than compromise,n,y,n,n,y
"I rely on proven methods, not wild notions Plans are suggestions, not iron gates I’d rather make peace than score points I process setbacks, then move forward Crowds blur my thoughts; I prefer one deep voice",n,n,y,n,n
"Books on quantum poetry excite me I double‑check locks, lights, and lines of code Optimism anchors me against dark currents I listen first, judge later, if ever Parties feel like home turf where I refuel",y,n,y,y,y
Kindness feels like common sense in motion Books on quantum poetry excite me Order calms me like deep breathing Optimism anchors me against dark currents I thrive when surrounded by lively conversations,y,n,y,y,y
I offer smiles as default greetings Books on quantum poetry excite me Crowded rooms charge my spirit like electricity Mood swings arrive without invitation or warning Calendars and lists guide my every sunrise,y,y,y,y,y
I finish tasks before they have time to worry me Optimism anchors me against dark currents Helping others paints colour into my day I collect perspectives the way others collect stamps I thrive when surrounded by lively conversations,y,n,y,y,y
I’d rather make peace than score points Deadlines feel like friendly checkpoints Crowded rooms charge my spirit like electricity I breathe evenly through most tempests I chase new experiences like constellations,y,n,y,y,y
I offer smiles as default greetings My mood is a calm lake at dawn Crowds blur my thoughts; I prefer one deep voice Punctuality is my silent love language Abstract ideas glitter brighter than gold,n,n,y,y,y
My desk is chaos where creativity blooms Practical solutions beat abstract theories Being right matters more than being liked I breathe evenly through most tempests Silence bores me; I chase the next social spark,y,n,n,n,n
"I value honesty above fragile feelings I replay mistakes in my mind like scratched vinyl After social storms, I retreat into books Change is interesting— from a safe distance Deadlines bend to my last‑minute miracles",n,y,n,n,n
Small talk drains my battery to red I chase new experiences like constellations Optimism anchors me against dark currents Debates are battles I aim to win My desk is chaos where creativity blooms,n,n,n,n,y
Gentle words soften the hardest debates Spontaneity steers my daily map Books on quantum poetry excite me Quiet corners are my favourite kingdoms Stress lingers even in calm rooms,n,y,y,n,y
I offer smiles as default greetings I question every rule before following Tiny worries grow into forests in my head Calendars and lists guide my every sunrise I thrive when surrounded by lively conversations,y,y,y,y,y
Abstract ideas glitter brighter than gold I offer smiles as default greetings Stress lingers even in calm rooms I lose track of time when ideas spark Crowded rooms charge my spirit like electricity,y,y,y,n,y
"I offer smiles as default greetings I question every rule before following Spontaneity steers my daily map After social storms, I retreat into books Optimism anchors me against dark currents",n,n,y,n,y
Formality suffocates my freeform workflow Small talk drains my battery to red I replay mistakes in my mind like scratched vinyl Books on quantum poetry excite me Debates are battles I aim to win,n,y,n,n,y
I thrive when surrounded by lively conversations Formality suffocates my freeform workflow I chase new experiences like constellations My mood is a calm lake at dawn I speak blunt truths even if they cut,y,n,n,n,y
I replay mistakes in my mind like scratched vinyl I’d rather make peace than score points Deadlines bend to my last‑minute miracles I thrive when surrounded by lively conversations Books on quantum poetry excite me,y,y,y,n,y
"Small talk drains my battery to red Stress slides off me like rain on glass I listen first, judge later, if ever I prefer facts over fantasies Deadlines bend to my last‑minute miracles",n,n,y,n,n
I talk my ideas into existence with anyone nearby Gentle words soften the hardest debates Art museums feel like playgrounds Deadlines feel like friendly checkpoints I breathe evenly through most tempests,y,n,y,y,y
"Helping others paints colour into my day I finish tasks before they have time to worry me I rely on proven methods, not wild notions I harvest energy from solitude and soft music Worry rarely finds a foothold in my mind",n,n,y,y,n
"Tiny worries grow into forests in my head Calendars and lists guide my every sunrise I rely on proven methods, not wild notions I speak blunt truths even if they cut I talk my ideas into existence with anyone nearby",y,y,n,y,n
I offer smiles as default greetings Order calms me like deep breathing Art museums feel like playgrounds Small talk drains my battery to red Optimism anchors me against dark currents,n,n,y,y,y
I lose track of time when ideas spark Kindness feels like common sense in motion Abstract ideas glitter brighter than gold I talk my ideas into existence with anyone nearby I breathe evenly through most tempests,y,n,y,n,y
I chase new experiences like constellations I speak blunt truths even if they cut Worry rarely finds a foothold in my mind Small talk drains my battery to red Punctuality is my silent love language,n,n,n,y,y
"Spontaneity steers my daily map After social storms, I retreat into books Anxiety knots itself around my late‑night thoughts Fiction rarely appeals compared to manuals I offer smiles as default greetings",n,y,y,n,n
"I question every rule before following Plans are suggestions, not iron gates Tiny worries grow into forests in my head Kindness feels like common sense in motion Meeting new faces feels like opening surprise gifts",y,y,y,n,y
I replay mistakes in my mind like scratched vinyl I finish tasks before they have time to worry me Silence bores me; I chase the next social spark Sarcasm is my native dialect Change is interesting— from a safe distance,y,y,n,y,n
"Punctuality is my silent love language I offer smiles as default greetings I chase new experiences like constellations Crowded rooms charge my spirit like electricity I process setbacks, then move forward",y,n,y,y,y
"I harvest energy from solitude and soft music I replay mistakes in my mind like scratched vinyl I double‑check locks, lights, and lines of code Practical solutions beat abstract theories Debates are battles I aim to win",n,y,n,y,n
Quiet corners are my favourite kingdoms Gentle words soften the hardest debates Order calms me like deep breathing I collect perspectives the way others collect stamps I breathe evenly through most tempests,n,n,y,y,y
Deadlines feel like friendly checkpoints I question every rule before following Crowded rooms charge my spirit like electricity I catch storms of doubt over clear skies I speak blunt truths even if they cut,y,y,n,y,y
Deadlines feel like friendly checkpoints Practical solutions beat abstract theories Worry rarely finds a foothold in my mind Meeting new faces feels like opening surprise gifts Debates are battles I aim to win,y,n,n,y,n
"Stress slides off me like rain on glass Being right matters more than being liked Crowds blur my thoughts; I prefer one deep voice Calendars and lists guide my every sunrise I rely on proven methods, not wild notions",n,n,n,y,n
"Parties feel like home turf where I refuel Helping others paints colour into my day I process setbacks, then move forward I lose track of time when ideas spark I prefer facts over fantasies",y,n,y,n,n
I collect perspectives the way others collect stamps Deadlines bend to my last‑minute miracles My mood is a calm lake at dawn I value honesty above fragile feelings Crowded rooms charge my spirit like electricity,y,n,n,n,y
Tradition steadies my steps like a familiar song Long talks exhaust me faster than a night run Formality suffocates my freeform workflow Optimism anchors me against dark currents I offer smiles as default greetings,n,n,y,n,n
Meeting new faces feels like opening surprise gifts Abstract ideas glitter brighter than gold I’d rather make peace than score points Mood swings arrive without invitation or warning Deadlines feel like friendly checkpoints,y,y,y,y,y
My desk is chaos where creativity blooms Anxiety knots itself around my late‑night thoughts I question every rule before following Gentle words soften the hardest debates I talk my ideas into existence with anyone nearby,y,y,y,n,y
Quiet corners are my favourite kingdoms Change is interesting— from a safe distance Tiny worries grow into forests in my head Order calms me like deep breathing I value honesty above fragile feelings,n,y,n,y,n
"After social storms, I retreat into books Fiction rarely appeals compared to manuals I double‑check locks, lights, and lines of code Stress lingers even in calm rooms Being right matters more than being liked",n,y,n,y,n
"Tradition steadies my steps like a familiar song Deadlines bend to my last‑minute miracles Being right matters more than being liked I process setbacks, then move forward Crowded rooms charge my spirit like electricity",y,n,n,n,n
My mood is a calm lake at dawn Spontaneity steers my daily map I’d rather make peace than score points Crowded rooms charge my spirit like electricity Practical solutions beat abstract theories,y,n,y,n,n
Change is interesting— from a safe distance Parties feel like home turf where I refuel My desk is chaos where creativity blooms I’d rather make peace than score points I catch storms of doubt over clear skies,y,y,y,n,n
I breathe evenly through most tempests Deadlines bend to my last‑minute miracles Kindness feels like common sense in motion I collect perspectives the way others collect stamps Crowded rooms charge my spirit like electricity,y,n,y,n,y
I breathe evenly through most tempests Art museums feel like playgrounds I talk my ideas into existence with anyone nearby I finish tasks before they have time to worry me I offer smiles as default greetings,y,n,y,y,y
Mood swings arrive without invitation or warning Punctuality is my silent love language Sarcasm is my native dialect Small talk drains my battery to red Change is interesting— from a safe distance,n,y,n,y,n
"I chase new experiences like constellations Formality suffocates my freeform workflow Helping others paints colour into my day After social storms, I retreat into books I catch storms of doubt over clear skies",n,y,y,n,y
Deadlines feel like friendly checkpoints Practical solutions beat abstract theories I thrive when surrounded by lively conversations I’d rather make peace than score points My mood is a calm lake at dawn,y,n,y,y,n
"Plans are suggestions, not iron gates Debates are battles I aim to win Art museums feel like playgrounds After social storms, I retreat into books Anxiety knots itself around my late‑night thoughts",n,y,n,n,y
Small talk drains my battery to red I question every rule before following I replay mistakes in my mind like scratched vinyl I lose track of time when ideas spark I’d rather make peace than score points,n,y,y,n,y
Long talks exhaust me faster than a night run Books on quantum poetry excite me Mood swings arrive without invitation or warning I’d rather make peace than score points Spontaneity steers my daily map,n,y,y,n,y
Spontaneity steers my daily map Tiny worries grow into forests in my head Art museums feel like playgrounds Crowds blur my thoughts; I prefer one deep voice I offer smiles as default greetings,n,y,y,n,y
Mood swings arrive without invitation or warning I collect perspectives the way others collect stamps I offer smiles as default greetings Small talk drains my battery to red Deadlines bend to my last‑minute miracles,n,y,y,n,y
My desk is chaos where creativity blooms Crowded rooms charge my spirit like electricity Being right matters more than being liked Books on quantum poetry excite me Optimism anchors me against dark currents,y,n,n,n,y
"I thrive when surrounded by lively conversations Art museums feel like playgrounds Kindness feels like common sense in motion I process setbacks, then move forward Deadlines bend to my last‑minute miracles",y,n,y,n,y
Helping others paints colour into my day I finish tasks before they have time to worry me I catch storms of doubt over clear skies Meeting new faces feels like opening surprise gifts Tradition steadies my steps like a familiar song,y,y,y,y,n
